image name,instagram caption,instagram post link,number of images in that post (1 - 6),"format (jpg, jpeg, heic, heif)",enhancement,"Upload quality (original, resized)",account info,
1_03_1_fil_cr_ins_nmo_Wald,YJ 1_03_1_fil_cr_ins_nmo_Wald,https://www.instagram.com/p/CCp3buWpA-F/,1,jpg,Walden,original,iaslab_filt_1,
1_03_1_fil_cr_ins_nmo_1977,YJ 1_03_1_fil_cr_ins_nmo_1977,https://www.instagram.com/p/CCp3jUKJYKe/,1,jpg,1977,original,iaslab_filt_1,
1_03_1_fil_cr_ins_nmo_Kelv,YJ 1_03_1_fil_cr_ins_nmo_Kelv,https://www.instagram.com/p/CCp3oW8JM5T/,1,jpg,Kelvin,original,iaslab_filt_1,
1_03_1_fil_cr_ins_nmo_Mave,YJ 1_03_1_fil_cr_ins_nmo_Mave,https://www.instagram.com/p/CCp3xAWpw-o/,1,jpg,Maven,original,iaslab_filt_1,
1_03_1_fil_cr_ins_nmo_Ginz,YJ 1_03_1_fil_cr_ins_nmo_Ginz,https://www.instagram.com/p/CCp32f-pd2O/,1,jpg,Ginza,original,iaslab_filt_1,
1_03_1_fil_cr_ins_nmo_Skyl,YJ 1_03_1_fil_cr_ins_nmo_Skyl,https://www.instagram.com/p/CCp375Np-oJ/,1,jpg,Skyline,original,iaslab_filt_1,
1_03_1_fil_cr_ins_nmo_Dogp,YJ 1_03_1_fil_cr_ins_nmo_Dogp,https://www.instagram.com/p/CCp3_4zJeJx/,1,jpg,Dogpatch,original,iaslab_filt_1,
1_03_1_fil_cr_ins_nmo_Broo,YJ 1_03_1_fil_cr_ins_nmo_Broo,https://www.instagram.com/p/CCp4EChpsdJ/,1,jpg,Brooklyn,original,iaslab_filt_1,
1_03_1_fil_cr_ins_nmo_Hele,YJ 1_03_1_fil_cr_ins_nmo_Hele,https://www.instagram.com/p/CCp4IQupbQh/,1,jpg,Helena,original,iaslab_filt_1,
1_03_1_fil_cr_ins_nmo_Ashb,YJ 1_03_1_fil_cr_ins_nmo_Ashb,https://www.instagram.com/p/CCrvSUmpfK8/,1,jpg,Ashby,original,iaslab_filt_1,
